Bootstrap	Ngris	Nmur	NANC	Tdiv	MIG1	MIG2	TPROP	Tiso	MaxEstLhood	MaxObsLhood
01	111379	134621	137786	100406	1.60170e-04	1.31892e-04	0.0459880	4617	-167479751.496	-160868429.681
49	111221	135477	130489	104717	1.54769e-04	1.17687e-04	9.24369e-04	97	-167251751.412	-160537931.756
50	109826	136566	139660	100182	1.95651e-04	1.53052e-04	0.0033153	332	-167259215.398	-160694840.443
02	109284	132485	135009	101162	2.03903e-04	1.60462e-04	0.0128512	1300	-167381448.448	-160720021.155
03	109572	136764	129973	101442	5.47421e-04	4.27810e-04	6.58836e-04	67	-167180576.513	-160574318.548
04	111230	138791	135499	102346	3.00116e-04	2.23819e-04	0.0022225	227	-167524931.213	-160926261.909
05	105528	139861	131201	100228	2.13839e-04	1.85243e-04	0.0016663	167	-167259668.289	-160698949.102
06	115967	139658	139392	101234	6.28713e-04	4.70318e-04	0.0143887	1457	-167767609.791	-161181936.248
07	114207	140207	139085	101939	3.53312e-04	2.79688e-04	0.0223408	2277	-167300892.756	-160732353.561
08	112812	137382	133349	103529	5.80684e-04	4.98056e-04	0.0801809	8301	-167174122.729	-160529687.259
09	109223	136379	135362	100944	1.71243e-04	1.32995e-04	0.0809101	8167	-167318427.717	-160731237.936
10	114340	139502	139175	100891	4.87041e-04	3.98632e-04	0.0036087	364	-167169321.201	-160606490.000
11	116301	133852	137280	105097	2.96082e-04	2.45500e-04	7.83279e-04	82	-167313954.426	-160560301.194
12	116819	132515	138204	102416	1.85978e-04	1.64920e-04	6.34055e-04	65	-167125444.404	-160412053.609
13	115158	139259	130755	102610	1.65511e-04	1.52011e-04	7.46986e-04	77	-167382499.784	-160787852.988
14	110849	134729	137995	101461	1.81092e-04	1.41450e-04	0.0020339	206	-167129730.291	-160509526.622
15	109544	137408	132790	102169	1.17911e-04	1.09941e-04	0.0035391	362	-167126683.818	-160529033.707
16	117485	138590	137959	104601	3.27303e-04	2.55626e-04	6.29711e-04	66	-167175755.735	-160522546.843
17	109179	139802	135193	100805	3.50340e-04	3.03777e-04	0.0195666	1972	-166895501.275	-160345595.459
18	111867	136220	138352	102754	2.33745e-04	1.80909e-04	0.0105406	1083	-167577022.863	-160925374.436
19	109881	139290	132943	102198	3.42252e-04	2.90145e-04	0.1747712	17861	-167292504.431	-160700951.966
20	114150	139349	134025	105902	1.39888e-04	1.20322e-04	0.0614571	6508	-167527560.622	-160864779.810
21	117558	137944	135526	101959	1.18376e-04	1.12749e-04	0.1169961	11929	-167556168.675	-160925851.819
22	109370	133823	138773	103185	3.25342e-04	2.67500e-04	0.0031593	326	-167152658.416	-160474778.030
23	109663	137935	130954	100340	2.26474e-04	2.10569e-04	0.1014534	10180	-167451807.213	-160872639.921
24	113902	139216	137091	101349	1.49895e-04	1.19676e-04	3.62901e-04	37	-167271691.098	-160694978.215
25	112837	137753	126592	104532	1.73322e-04	1.46528e-04	0.0020749	217	-167021558.197	-160356682.199
26	110064	139290	129051	100353	1.97725e-04	1.68742e-04	0.0113351	1138	-167097143.774	-160548112.309
27	111468	135676	139377	100769	4.92274e-04	3.67100e-04	0.0073054	736	-167158264.198	-160550211.445
28	116192	140127	130858	103757	1.67617e-04	1.48069e-04	0.0265621	2756	-167417820.243	-160793672.171
29	115819	137381	135361	102806	1.50666e-04	1.39674e-04	0.0017813	183	-167661120.623	-161021041.480
30	107933	133803	125048	102303	1.78946e-04	1.51489e-04	0.0266434	2726	-167297572.116	-160595217.462
31	114363	135548	137446	101731	2.35103e-04	1.87116e-04	0.0039824	405	-167139794.096	-160493143.933
32	115463	138481	136288	100765	1.40010e-04	1.25677e-04	0.0085034	857	-167446957.594	-160849145.407
33	105016	135479	131607	100655	8.15275e-04	5.72754e-04	4.21550e-04	42	-167156775.674	-160536930.970
34	108990	131291	136702	100021	2.06418e-04	1.40694e-04	9.06896e-04	91	-167219019.399	-160567227.423
35	110680	138403	127380	100050	1.94339e-04	1.66879e-04	0.0152714	1528	-167366167.153	-160799644.898
36	111669	138293	129298	102748	2.83009e-04	2.38408e-04	0.0010189	105	-167503556.273	-160872710.283
37	119263	138743	133271	104080	1.98697e-04	1.92726e-04	9.63124e-04	100	-167291609.983	-160635426.545
38	114818	132988	131273	102255	1.84733e-04	1.59906e-04	0.0176618	1806	-167349397.910	-160654769.319
39	115854	138504	139632	101014	2.76140e-04	2.51553e-04	5.01480e-04	51	-167180981.064	-160594170.651
40	108286	139100	137086	102573	1.82341e-04	1.28482e-04	0.0026020	267	-167041515.266	-160435451.778
41	106665	134233	135849	101222	4.21924e-04	2.89700e-04	8.18829e-04	83	-167479818.150	-160833574.094
42	109895	140190	132018	100234	1.61571e-04	1.37039e-04	0.0031109	312	-166994318.257	-160455843.597
43	115610	139543	137588	100281	1.81196e-04	1.36405e-04	0.0029384	295	-167488614.337	-160905733.291
44	109661	133444	130495	100905	3.51166e-04	2.94568e-04	0.0011409	115	-166653666.953	-160038301.886
45	115383	140217	130737	104254	1.98075e-04	1.67989e-04	0.0011254	117	-167201789.739	-160590246.209
46	108315	137752	131978	102210	3.32285e-04	2.71860e-04	0.0456198	4663	-164710386.360	-158204478.974
47	111798	137148	125369	100817	1.86260e-04	1.83816e-04	7.56332e-04	76	-167380015.755	-160779424.818
48	119425	134664	137442	108959	1.99944e-04	1.66067e-04	9.05230e-04	99	-167294212.882	-160480601.599
